Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 5),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Unknown],SKU [Unknown],Packaging [Unknown],Unit Price (@ Batch Size: 5) [Unknown],Line Total [Unknown],Batch Total [Unknown],In Stock [Unknown],MOQ [Unknown],URL [Unknown],Notes
,,,,,,,,,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,,,,,,,,,,
1,UB-M5BR-DM14-4D,JST,UB-M5BR-DM14-4D,https://octopart.com/ub-m5br-dm14-4d-jst-54155138,USB PORT,,,5,,,,,,,,,,,,,,,,,,,TME,UB-M5BR-DM14-4D,,0.82391,0.82391,4.11955,2716,2,https://octopart.com/click/track?ak=39ac400e&sig=05eef3d&sid=1532&ppid=54155138&vpid=182988923&ct=offers,
1,TP124005-2,DB Unlimited,TP124005-2,https://octopart.com/tp124005-2-db+unlimited-59659708,SPEAKER,,,5,2104-TP124005-2-ND,TP124005-2,497-TP124005-2,Box,,Bulk,0.86,0.89,0.89,0,490,1270,1,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=07f709b&sid=459&ppid=59659708&vpid=536914235&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05f5ec0&sid=1106&ppid=59659708&vpid=473187997&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=036c5df&sid=2401&ppid=59659708&vpid=213292271&ct=offers,Symmetry Electronics,TP124005-2,,0.78,0.78,3.9000000000000004,0,1,https://octopart.com/click/track?ak=39ac400e&sig=0cee4f2&sid=13421&ppid=59659708&vpid=466802400&ct=offers,
48,1N4151TR,Vishay,1N4151TR,https://octopart.com/1n4151tr-vishay-9342963,D*,,,240,1N4151VSCT-ND,1N4151TR,78-1N4151,Cut Tape,Cut Tape,,0.0736,0.0523,0.055,19301,7812,68600,1,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c72a76&sid=459&ppid=9342963&vpid=188611182&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0b90a18&sid=1106&ppid=9342963&vpid=473518735&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=06ae733&sid=2401&ppid=9342963&vpid=116515442&ct=offers,Chip One Stop Japan,C1S803603782559,,0.0335,1.608,8.040000000000001,14689,50,https://octopart.com/click/track?ak=39ac400e&sig=03b8112&sid=13512&ppid=9342963&vpid=280858993&ct=offers,
1,1301.9303,Schurter,1301.9303,https://octopart.com/1301.9303-schurter-5416046,RESET,,,5,486-1943-ND,,693-1301.9303,Bulk,,,0.23,,0.23,2647,,3407,1,,1,https://octopart.com/click/track?ak=39ac400e&sig=0ccaeb6&sid=459&ppid=5416046&vpid=53474707&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0d3d50d&sid=2401&ppid=5416046&vpid=37934666&ct=offers,Digi-Key,486-1943-ND,Bulk,0.23,0.23,1.1500000000000001,2647,1,https://octopart.com/click/track?ak=39ac400e&sig=0ccaeb6&sid=459&ppid=5416046&vpid=53474707&ct=offers,
1,ECS-160-20-4VX,ECS International,ECS-160-20-4VX,https://octopart.com/ecs-160-20-4vx-ecs+international-19118787,Y1,,,5,XC1581-ND,,520-ECS-160-20-4VX,Bulk,,Bulk,1.4,,1.4,961,,266,1,,1,https://octopart.com/click/track?ak=39ac400e&sig=0708ad5&sid=459&ppid=19118787&vpid=33955135&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0e52032&sid=2401&ppid=19118787&vpid=165357254&ct=offers,Digi-Key,XC1581-ND,Bulk,1.4,1.4,7,961,1,https://octopart.com/click/track?ak=39ac400e&sig=0708ad5&sid=459&ppid=19118787&vpid=33955135&ct=offers,
1,S5B-PH-K-S(LF)(SN),JST,S5B-PH-K-S(LF)(SN),https://octopart.com/s5b-ph-k-s%28lf%29%28sn%29-jst-248886,ALT USB PORT,,,5,455-1722-ND,,,Bulk,,,0.27,,,9563,,,1,,,https://octopart.com/click/track?ak=39ac400e&sig=03620c1&sid=459&ppid=248886&vpid=1093464&ct=offers,,,Heilind Electronics,JSTS5B-PH-K-S(LF)(SN),,0.12357,0.12357,0.61785,662,1,https://octopart.com/click/track?ak=39ac400e&sig=0c2d959&sid=8539&ppid=248886&vpid=39211556&ct=offers,
1,ATMEGA32A-PU,Microchip,ATMEGA32A-PU,https://octopart.com/atmega32a-pu-microchip-77760288,MICROCONTROLLER,,,5,ATMEGA32A-PU-ND,ATMEGA32A-PU,556-ATMEGA32A-PU,Tube,,Tube,3.64,3.7862,3.63,1612,16,3604,1,1,1,https://octopart.com/click/track?ak=39ac400e&sig=01f27f6&sid=459&ppid=77760288&vpid=408717014&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05d958a&sid=1106&ppid=77760288&vpid=474026465&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0e0eec9&sid=2401&ppid=77760288&vpid=408978644&ct=offers,Elotronics,ATMEGA32A-PU,,2.89,2.89,14.450000000000001,200,1,https://octopart.com/click/track?ak=39ac400e&sig=070d479&sid=26643&ppid=77760288&vpid=242224991&ct=offers,
1,1-2199299-5,TE Connectivity,1-2199299-5,https://octopart.com/1-2199299-5-te+connectivity-34963610,MICROCONTROLLER SOCKET,,,5,A120355-ND,1-2199299-5,571-1-2199299-5,Tube,,Tube,0.89,0.5707,0.6,3871,3015,4767,1,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0d36628&sid=459&ppid=34963610&vpid=198661631&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0c23f65&sid=1106&ppid=34963610&vpid=473455718&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0bd913c&sid=2401&ppid=34963610&vpid=165549125&ct=offers,"Arrow Electronics, Inc.",1-2199299-5,,0.5707,0.5707,2.8535,3015,1,https://octopart.com/click/track?ak=39ac400e&sig=0c23f65&sid=1106&ppid=34963610&vpid=473455718&ct=offers,
1,LD1117AV33,STMicroelectronics,LD1117AV33,https://octopart.com/ld1117av33-stmicroelectronics-526794,POWER REGULATOR,,,5,497-1485-5-ND,LD1117AV33,511-LD1117AV33,Tube,,,0.53,0.489,0.53,3542,2505,4789,1,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0058cc8&sid=459&ppid=526794&vpid=1070810&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=00028a1&sid=1106&ppid=526794&vpid=473420022&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0fa8aeb&sid=2401&ppid=526794&vpid=37738032&ct=offers,LCSC,C32833,,0.3198,0.3198,1.5989999999999998,161,1,https://octopart.com/click/track?ak=39ac400e&sig=0dc143a&sid=27971&ppid=526794&vpid=448096169&ct=offers,
